VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	3	10	-	T	11-12-2024	-	-	-	-
VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	2	-	T	11-12-2024	-	-	-	-
VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	15	-	T	11-12-2024	-	-	-	-
VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	15	-	T	11-12-2024	-	-	-	-
VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	MobiDBLite	mobidb-lite	consensus disorder prediction	172	182	-	T	11-12-2024	-	-	-	-
VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	11	15	-	T	11-12-2024	-	-	-	-
VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	16	354	-	T	11-12-2024	-	-	-	-
VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	MobiDBLite	mobidb-lite	consensus disorder prediction	206	237	-	T	11-12-2024	-	-	-	-
VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	MobiDBLite	mobidb-lite	consensus disorder prediction	152	255	-	T	11-12-2024	-	-	-	-
VDAG_01155	d1885060d642bf220953f23eb8e42f38	354	MobiDBLite	mobidb-lite	consensus disorder prediction	183	198	-	T	11-12-2024	-	-	-	-
VDAG_01959	1aef15f05f8ce5f213f791bc600eb00e	245	PANTHER	PTHR33353	PUTATIVE (AFU_ORTHOLOGUE AFUA_1G12560)-RELATED	1	244	3.6E-66	T	11-12-2024	IPR049892	Auxiliary Activity family 9	-	MetaCyc:PWY-2961|MetaCyc:PWY-5132|MetaCyc:PWY-5133|MetaCyc:PWY-5175|MetaCyc:PWY-5368|MetaCyc:PWY-5748|MetaCyc:PWY-5775|MetaCyc:PWY-5795|MetaCyc:PWY-5875|MetaCyc:PWY-5947|MetaCyc:PWY-6279|MetaCyc:PWY-6280|MetaCyc:PWY-6286|MetaCyc:PWY-6346|MetaCyc:PWY-6788|MetaCyc:PWY-699|MetaCyc:PWY-7495|MetaCyc:PWY-7849|MetaCyc:PWY-7857|MetaCyc:PWY-8399|MetaCyc:PWY-8400|MetaCyc:PWY-8412
