VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	18	-	T	11-12-2024	-	-	-	-
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	18	-	T	11-12-2024	-	-	-	-
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	19	427	-	T	11-12-2024	-	-	-	-
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	18	-	T	11-12-2024	-	-	-	-
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	Pfam	PF00295	Glycosyl hydrolases family 28	112	345	2.9E-33	T	11-12-2024	IPR000743	Glycoside hydrolase, family 28	GO:0004650(InterPro)|GO:0005975(InterPro)	MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7246|MetaCyc:PWY-7248|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	5	-	T	11-12-2024	-	-	-	-
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	14	18	-	T	11-12-2024	-	-	-	-
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	18	-	T	11-12-2024	-	-	-	-
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	PANTHER	PTHR31736	-	8	423	5.1E-74	T	11-12-2024	-	-	-	-
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	6	13	-	T	11-12-2024	-	-	-	-
VDAG_09366	49aaf38655ec60d32d97353ddf55cd66	427	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	20	5.0	T	11-12-2024	-	-	-	-
